# Force and moment coefficients
# dragDir       : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# rollAxis      : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# magUInf       : 9.42371919e+01
# lRef          : 1.50000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0255          	1.79052481e-01	-4.86026404e-01	6.65078885e-01	1.72665793e+00	7.26666909e-01	9.99991025e-01	-1.36662058e-01	-5.75552645e-01	5.96841602e-02	-1.16404281e-20	5.96841602e-02	-5.96841602e-02
0.026           	1.80764023e-01	-4.90101130e-01	6.70865153e-01	1.74144942e+00	7.26800523e-01	1.01464890e+00	-1.43924189e-01	-5.80483141e-01	6.02546743e-02	-1.16904614e-20	6.02546743e-02	-6.02546743e-02
0.0265          	1.82651416e-01	-4.93154445e-01	6.75805861e-01	1.75344046e+00	7.28928166e-01	1.02451229e+00	-1.47792063e-01	-5.84480153e-01	6.08838053e-02	-1.15186064e-20	6.08838053e-02	-6.08838053e-02
0.027           	1.83923681e-01	-4.95979952e-01	6.79903633e-01	1.76382538e+00	7.30334512e-01	1.03349086e+00	-1.51578176e-01	-5.87941792e-01	6.13078938e-02	-1.15205247e-20	6.13078938e-02	-6.13078938e-02
0.0275          	1.84463082e-01	-4.99631603e-01	6.84094685e-01	1.77558943e+00	7.30020356e-01	1.04556908e+00	-1.57774360e-01	-5.91863144e-01	6.14876940e-02	-1.15677557e-20	6.14876940e-02	-6.14876940e-02
0.028           	1.85267153e-01	-5.03493023e-01	6.88760176e-01	1.78837980e+00	7.30902227e-01	1.05747757e+00	-1.63287671e-01	-5.96126599e-01	6.17557177e-02	-1.16628220e-20	6.17557177e-02	-6.17557177e-02
0.0285          	1.87304894e-01	-5.06649372e-01	6.93954266e-01	1.80090546e+00	7.33531012e-01	1.06737444e+00	-1.66921716e-01	-6.00301819e-01	6.24349647e-02	-1.16782129e-20	6.24349647e-02	-6.24349647e-02
0.029           	1.89526596e-01	-5.08984524e-01	6.98511120e-01	1.81124347e+00	7.36032843e-01	1.07521062e+00	-1.69588890e-01	-6.03747822e-01	6.31755321e-02	-1.16894959e-20	6.31755321e-02	-6.31755321e-02
0.0295          	1.90737635e-01	-5.11271823e-01	7.02009458e-01	1.81992192e+00	7.37528222e-01	1.08239370e+00	-1.72432739e-01	-6.06640641e-01	6.35792117e-02	-1.16469394e-20	6.35792117e-02	-6.35792117e-02
0.03            	1.91487894e-01	-5.14001378e-01	7.05489272e-01	1.82923597e+00	7.39756136e-01	1.08947984e+00	-1.74861851e-01	-6.09745325e-01	6.38292980e-02	-1.17067601e-20	6.38292980e-02	-6.38292980e-02
0.0305          	1.92558458e-01	-5.16656777e-01	7.09215235e-01	1.83880802e+00	7.44418131e-01	1.09438989e+00	-1.74985878e-01	-6.12936006e-01	6.41861527e-02	-1.17632282e-20	6.41861527e-02	-6.41861527e-02
0.031           	1.93568042e-01	-5.18280792e-01	7.11848834e-01	1.84519444e+00	7.50903081e-01	1.09429136e+00	-1.71694138e-01	-6.15064813e-01	6.45226807e-02	-1.17548218e-20	6.45226807e-02	-6.45226807e-02
0.0315          	1.93306721e-01	-5.18678658e-01	7.11985380e-01	1.84599606e+00	7.57319838e-01	1.08867622e+00	-1.65678190e-01	-6.15332019e-01	6.44355738e-02	-1.16678585e-20	6.44355738e-02	-6.44355738e-02
0.032           	1.90809817e-01	-5.18473416e-01	7.09283233e-01	1.84163497e+00	7.62594404e-01	1.07904057e+00	-1.58223082e-01	-6.13878324e-01	6.36032723e-02	-1.16386593e-20	6.36032723e-02	-6.36032723e-02
0.0325          	1.87319409e-01	-5.18508282e-01	7.05827691e-01	1.83650396e+00	7.67119402e-01	1.06938456e+00	-1.51132578e-01	-6.12167986e-01	6.24398029e-02	-1.16643346e-20	6.24398029e-02	-6.24398029e-02
0.033           	1.84891295e-01	-5.19479514e-01	7.04370810e-01	1.83577549e+00	7.71499944e-01	1.06427554e+00	-1.46387799e-01	-6.11925162e-01	6.16304318e-02	-1.16774229e-20	6.16304318e-02	-6.16304318e-02
0.0335          	1.83489574e-01	-5.21020416e-01	7.04509990e-01	1.83829561e+00	7.74760361e-01	1.06353525e+00	-1.44387443e-01	-6.12765203e-01	6.11631915e-02	-1.16753733e-20	6.11631915e-02	-6.11631915e-02
0.034           	1.82644490e-01	-5.22704336e-01	7.05348826e-01	1.84207974e+00	7.75803418e-01	1.06627632e+00	-1.45236454e-01	-6.14026581e-01	6.08814968e-02	-1.17034314e-20	6.08814968e-02	-6.08814968e-02
0.0345          	1.81819821e-01	-5.24386665e-01	7.06206486e-01	1.84588973e+00	7.74990559e-01	1.07089917e+00	-1.47954304e-01	-6.15296576e-01	6.06066071e-02	-1.16764176e-20	6.06066071e-02	-6.06066071e-02
0.035           	1.81127945e-01	-5.26337038e-01	7.07464983e-01	1.85070303e+00	7.73200868e-01	1.07750216e+00	-1.52150647e-01	-6.16901010e-01	6.03759816e-02	-1.17029358e-20	6.03759816e-02	-6.03759816e-02
